alert_id,alert_type,is_sar,tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp
2,fan_in,True,23,424,38,TRANSFER,615.19,2017-01-01T00:00:00Z
0,fan_in,True,195,1238,9,TRANSFER,804.88,2017-01-01T00:00:00Z
1,fan_in,True,224,108,53,TRANSFER,710.22,2017-01-01T00:00:00Z
4,fan_out,True,8544,349,1187,TRANSFER,338.23,2017-02-07T00:00:00Z
0,fan_in,True,10949,93,9,TRANSFER,371.0,2017-02-17T00:00:00Z
1,fan_in,True,15825,731,53,TRANSFER,587.07,2017-03-10T00:00:00Z
7,cycle,True,15986,24,1167,TRANSFER,408.68,2017-03-11T00:00:00Z
7,cycle,True,16475,593,1393,TRANSFER,243.78,2017-03-13T00:00:00Z
7,cycle,True,16843,1393,176,TRANSFER,376.13,2017-03-15T00:00:00Z
9,cycle,True,17413,55,220,TRANSFER,120.69,2017-03-17T00:00:00Z
7,cycle,True,17416,295,593,TRANSFER,679.91,2017-03-17T00:00:00Z
9,cycle,True,17506,912,1228,TRANSFER,794.24,2017-03-18T00:00:00Z
9,cycle,True,17507,1228,55,TRANSFER,163.93,2017-03-18T00:00:00Z
2,fan_in,True,17615,867,38,TRANSFER,432.24,2017-03-18T00:00:00Z
7,cycle,True,18010,176,978,TRANSFER,377.68,2017-03-20T00:00:00Z
9,cycle,True,18156,49,757,TRANSFER,114.72,2017-03-20T00:00:00Z
7,cycle,True,18171,1167,295,TRANSFER,854.61,2017-03-21T00:00:00Z
7,cycle,True,18172,978,24,TRANSFER,641.44,2017-03-21T00:00:00Z
9,cycle,True,18261,757,912,TRANSFER,561.74,2017-03-21T00:00:00Z
9,cycle,True,19057,241,1311,TRANSFER,722.13,2017-03-24T00:00:00Z
9,cycle,True,19305,1140,49,TRANSFER,946.45,2017-03-25T00:00:00Z
5,fan_out,True,19872,117,97,TRANSFER,223.61,2017-03-28T00:00:00Z
9,cycle,True,20082,1311,1140,TRANSFER,284.53,2017-03-29T00:00:00Z
9,cycle,True,20484,220,241,TRANSFER,517.52,2017-03-31T00:00:00Z
3,fan_out,True,21508,328,402,TRANSFER,657.73,2017-04-04T00:00:00Z
0,fan_in,True,21782,1131,9,TRANSFER,854.65,2017-04-05T00:00:00Z
3,fan_out,True,27980,328,1055,TRANSFER,610.48,2017-05-02T00:00:00Z
3,fan_out,True,31138,328,1059,TRANSFER,110.9,2017-05-16T00:00:00Z
1,fan_in,True,31286,8,53,TRANSFER,357.64,2017-05-17T00:00:00Z
0,fan_in,True,32621,394,9,TRANSFER,486.19,2017-05-22T00:00:00Z
6,cycle,True,33515,348,796,TRANSFER,646.66,2017-05-26T00:00:00Z
6,cycle,True,33558,1264,154,TRANSFER,210.2,2017-05-27T00:00:00Z
6,cycle,True,34052,154,244,TRANSFER,682.75,2017-05-29T00:00:00Z
6,cycle,True,35118,244,348,TRANSFER,852.7,2017-06-02T00:00:00Z
2,fan_in,True,35130,331,38,TRANSFER,575.12,2017-06-02T00:00:00Z
6,cycle,True,35831,796,128,TRANSFER,966.16,2017-06-05T00:00:00Z
6,cycle,True,35832,128,1264,TRANSFER,774.97,2017-06-05T00:00:00Z
3,fan_out,True,36389,328,699,TRANSFER,341.73,2017-06-08T00:00:00Z
5,fan_out,True,38193,117,616,TRANSFER,228.68,2017-06-16T00:00:00Z
5,fan_out,True,38967,117,722,TRANSFER,833.93,2017-06-19T00:00:00Z
3,fan_out,True,40016,328,644,TRANSFER,992.63,2017-06-24T00:00:00Z
0,fan_in,True,43408,559,9,TRANSFER,464.4,2017-07-08T00:00:00Z
3,fan_out,True,46945,328,463,TRANSFER,473.92,2017-07-24T00:00:00Z
1,fan_in,True,47040,894,53,TRANSFER,769.86,2017-07-24T00:00:00Z
4,fan_out,True,48319,349,1007,TRANSFER,796.82,2017-07-30T00:00:00Z
2,fan_in,True,52385,177,38,TRANSFER,854.38,2017-08-17T00:00:00Z
0,fan_in,True,54031,1416,9,TRANSFER,841.05,2017-08-24T00:00:00Z
3,fan_out,True,55784,328,831,TRANSFER,158.42,2017-09-01T00:00:00Z
