step,normal,SAR
0,253,3
1,218,0
2,245,0
3,220,0
4,209,0
5,232,0
6,227,0
7,253,0
8,218,0
9,246,0
10,221,0
11,209,0
12,232,0
13,228,0
14,255,0
15,218,0
16,247,0
17,221,0
18,209,0
19,232,0
20,230,0
21,253,0
22,218,0
23,245,0
24,220,0
25,210,0
26,233,0
27,227,0
28,254,0
29,219,0
30,245,0
31,220,0
32,210,0
33,233,0
34,227,0
35,253,0
36,218,0
37,246,1
38,219,0
39,209,0
40,233,0
41,227,0
42,255,0
43,221,0
44,246,0
45,219,0
46,211,0
47,232,1
48,227,0
49,253,0
50,218,0
51,245,0
52,219,0
53,209,0
54,233,0
55,229,0
56,254,0
57,219,0
58,245,0
59,219,0
60,209,0
61,233,0
62,227,0
63,253,0
64,219,0
65,245,0
66,221,0
67,210,0
68,232,1
69,227,1
70,254,0
71,219,1
72,246,0
73,219,1
74,209,0
75,232,2
76,229,3
77,254,0
78,219,2
79,247,3
80,220,0
81,209,0
82,232,1
83,227,1
84,253,0
85,218,0
86,245,1
87,221,1
88,211,0
89,232,1
90,227,0
91,254,0
92,218,0
93,245,1
94,220,1
95,210,0
96,232,0
97,227,0
98,253,0
99,218,0
100,247,0
101,219,0
102,210,0
103,232,0
104,227,0
105,253,0
106,218,0
107,246,0
108,220,0
109,209,0
110,232,0
111,229,0
112,254,0
113,218,0
114,245,0
115,220,0
116,209,0
117,233,0
118,227,0
119,254,0
120,218,0
121,245,1
122,219,0
123,209,0
124,233,0
125,228,0
126,253,0
127,220,0
128,246,0
129,219,0
130,213,0
131,233,0
132,227,0
133,254,0
134,219,0
135,246,1
136,219,1
137,209,0
138,232,0
139,228,0
140,253,0
141,218,1
142,245,0
143,219,0
144,209,0
145,233,1
146,231,1
147,255,0
148,218,1
149,245,0
150,219,0
151,209,0
152,234,2
153,228,0
154,255,0
155,219,2
156,245,0
157,222,0
158,209,1
159,233,0
160,227,0
161,254,0
162,218,0
163,248,0
164,221,0
165,209,0
166,233,1
167,229,0
168,253,0
169,221,1
170,247,0
171,220,0
172,209,0
173,233,0
174,227,1
175,255,0
176,218,0
177,248,0
178,219,0
179,209,0
180,234,0
181,230,0
182,254,0
183,218,0
184,245,0
185,220,0
186,211,0
187,233,0
188,228,1
189,254,0
190,221,0
191,246,0
192,220,0
193,210,0
194,232,0
195,227,0
196,254,0
197,217,0
198,246,0
199,219,0
200,209,0
201,232,0
202,227,0
203,253,0
204,216,2
205,243,0
206,218,0
207,208,0
208,231,0
209,227,0
210,251,1
211,216,0
212,242,0
213,219,0
214,208,0
215,231,0
216,228,0
217,250,0
218,215,0
219,241,0
220,219,0
221,209,0
222,225,0
223,224,0
224,249,0
225,213,0
226,239,0
227,217,0
228,207,1
229,224,0
230,220,0
231,247,0
232,212,0
233,236,0
234,219,0
235,207,1
236,220,0
237,219,0
238,247,0
239,211,0
240,234,0
241,215,0
242,201,0
243,220,1
244,214,0
245,244,1
246,208,0
247,229,0
248,211,1
249,198,0
250,217,0
251,213,0
252,240,0
253,206,0
254,227,0
255,211,0
256,194,0
257,216,0
258,208,0
259,238,0
260,200,0
261,224,0
262,208,0
263,193,0
264,213,0
265,209,0
266,233,0
267,198,0
268,215,0
269,203,0
270,192,0
271,213,0
272,204,1
273,227,0
274,199,0
275,210,0
276,196,0
277,187,0
278,208,0
279,201,0
280,219,0
281,196,0
282,210,1
283,194,0
284,184,0
285,203,0
286,198,0
287,217,0
288,190,0
289,203,0
290,190,0
291,179,0
292,202,0
293,196,0
294,214,0
295,185,0
296,196,0
297,187,1
298,178,0
299,197,1
300,192,0
301,213,0
302,179,0
303,189,0
304,187,1
305,176,0
306,194,0
307,189,0
308,204,0
309,177,0
310,187,0
311,182,0
312,170,0
313,185,0
314,183,0
315,202,0
316,175,0
317,180,0
318,180,0
319,163,0
320,185,0
321,177,0
322,200,0
323,173,0
324,180,0
325,173,0
326,163,0
327,182,0
328,174,0
329,199,0
330,169,0
331,174,0
332,169,0
333,165,0
334,178,0
335,166,0
336,199,0
337,166,0
338,172,0
339,166,0
340,161,0
341,169,0
342,164,0
343,194,0
344,160,0
345,167,2
346,161,1
347,153,1
348,163,2
349,156,1
350,191,0
351,159,0
352,160,0
353,154,0
354,152,0
355,162,0
356,150,0
357,183,0
358,154,0
359,153,0
360,149,0
361,148,0
362,160,0
363,154,0
364,178,0
365,154,0
366,153,0
367,146,0
368,147,0
369,157,0
370,148,0
371,175,0
372,149,0
373,150,0
374,145,0
375,142,0
376,154,0
377,142,0
378,167,0
379,147,0
380,147,1
381,141,0
382,144,0
383,149,0
384,140,0
385,162,0
386,146,0
387,143,0
388,138,0
389,143,0
390,143,0
391,138,0
392,163,0
393,143,0
394,146,0
395,142,0
396,142,0
397,138,0
398,136,0
399,155,0
400,142,0
401,132,0
402,132,0
403,141,0
404,134,0
405,131,0
406,157,0
407,142,0
408,126,0
409,134,0
410,141,0
411,128,0
412,133,0
413,156,0
414,137,0
415,130,0
416,129,0
417,137,0
418,127,0
419,129,0
420,151,0
421,133,0
422,126,0
423,126,0
424,136,0
425,125,0
426,126,0
427,149,0
428,134,0
429,122,0
430,125,0
431,131,0
432,124,0
433,124,0
434,146,0
435,134,0
436,122,0
437,124,0
438,129,0
439,124,0
440,120,0
441,147,0
442,127,0
443,118,0
444,119,0
445,125,0
446,122,0
447,122,0
448,145,0
449,130,0
450,119,0
451,119,0
452,126,0
453,123,0
454,123,0
455,144,0
456,131,1
457,117,0
458,116,0
459,126,0
460,124,0
461,120,0
462,143,0
463,130,0
464,117,0
465,120,0
