birthPlaceCountry,countryOfIncorporation,countryOfResidency,deathTime,firstName,isActive,lastName,legalName,listedCompany,maritalStatus,middleName,name,nameAlias,nationality,occupation,organizationSymbol,partyId,partyType,sourceOfIncome,title,website,gender,homePhone,alternatePhone,cellPhone,primaryPhone,workPhone,alternateEmail,companyEmail,personalEmail,workEmail,isIndividual
US,US,US,,,,,,,,,,,US,,,1,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,3,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,6,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,11,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,12,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,14,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,17,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,18,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,20,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,21,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,23,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,24,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,26,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,27,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,28,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,33,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,34,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,35,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,37,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,38,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,40,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,41,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,48,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,49,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,50,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,53,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,54,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,56,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,58,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,62,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,63,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,64,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,67,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,68,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,69,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,70,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,71,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,72,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,73,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,74,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,76,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,77,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,83,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,84,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,86,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,88,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,89,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,93,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,94,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,95,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,96,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,98,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,100,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,101,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,102,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,104,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,107,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,109,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,110,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,111,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,113,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,117,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,120,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,122,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,126,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,127,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,133,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,134,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,135,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,136,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,137,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,141,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,142,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,143,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,144,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,146,Organization,,,,,,,,,,,,,,False
