birthPlaceCountry,countryOfIncorporation,countryOfResidency,deathTime,firstName,isActive,lastName,legalName,listedCompany,maritalStatus,middleName,name,nameAlias,nationality,occupation,organizationSymbol,partyId,partyType,sourceOfIncome,title,website,gender,homePhone,alternatePhone,cellPhone,primaryPhone,workPhone,alternateEmail,companyEmail,personalEmail,workEmail,isIndividual
US,US,US,,,,,,,,,,,US,,,1,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,2,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,7,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,8,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,10,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,12,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,14,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,16,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,17,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,18,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,20,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,22,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,23,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,25,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,26,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,28,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,29,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,30,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,31,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,32,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,33,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,39,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,41,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,44,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,45,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,46,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,47,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,48,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,49,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,50,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,51,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,52,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,55,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,56,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,57,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,64,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,65,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,67,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,69,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,70,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,71,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,72,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,73,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,75,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,76,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,77,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,80,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,81,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,82,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,83,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,84,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,86,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,87,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,90,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,92,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,94,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,98,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,99,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,100,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,101,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,106,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,108,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,110,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,112,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,113,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,118,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,120,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,125,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,126,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,128,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,129,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,130,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,131,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,132,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,133,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,134,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,135,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,136,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,139,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,140,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,142,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,145,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,146,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,149,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,157,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,159,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,160,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,162,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,163,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,164,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,165,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,166,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,168,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,169,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,170,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,171,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,172,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,177,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,178,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,180,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,185,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,188,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,189,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,192,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,193,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,194,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,199,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,200,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,201,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,205,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,206,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,208,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,210,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,213,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,216,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,217,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,219,Organization,,,,,,,,,,,,,,False
