ALERT_ID,ACCOUNT_ID,CUSTOMER_ID,EVENT_DATE,ALERT_TYPE,ACCOUNT_TYPE,IS_SAR
0,7410,C_7410,20170101,fan_in,INDIVIDUAL,YES
0,2130,C_2130,20170101,fan_in,INDIVIDUAL,YES
0,12683,C_12683,20170305,fan_in,INDIVIDUAL,YES
0,42829,C_42829,20170507,fan_in,INDIVIDUAL,YES
0,23047,C_23047,20171112,fan_in,INDIVIDUAL,YES
0,49377,C_49377,20180114,fan_in,INDIVIDUAL,YES
1,32075,C_32075,20170101,fan_in,INDIVIDUAL,YES
1,409,C_409,20170101,fan_in,INDIVIDUAL,YES
1,20587,C_20587,20170201,fan_in,INDIVIDUAL,YES
1,39883,C_39883,20170304,fan_in,INDIVIDUAL,YES
1,3171,C_3171,20170505,fan_in,INDIVIDUAL,YES
2,29299,C_29299,20170101,fan_in,INDIVIDUAL,YES
2,4044,C_4044,20170101,fan_in,INDIVIDUAL,YES
2,4265,C_4265,20170421,fan_in,INDIVIDUAL,YES
2,41227,C_41227,20170615,fan_in,INDIVIDUAL,YES
2,24037,C_24037,20170809,fan_in,INDIVIDUAL,YES
2,14588,C_14588,20171003,fan_in,INDIVIDUAL,YES
2,36148,C_36148,20180317,fan_in,INDIVIDUAL,YES
3,46504,C_46504,20170101,fan_in,INDIVIDUAL,YES
3,4562,C_4562,20170101,fan_in,INDIVIDUAL,YES
3,16564,C_16564,20170418,fan_in,INDIVIDUAL,YES
3,16134,C_16134,20171118,fan_in,INDIVIDUAL,YES
3,8186,C_8186,20180620,fan_in,INDIVIDUAL,YES
4,27411,C_27411,20170102,fan_in,INDIVIDUAL,YES
4,11270,C_11270,20170102,fan_in,INDIVIDUAL,YES
4,32662,C_32662,20170130,fan_in,INDIVIDUAL,YES
4,40381,C_40381,20170227,fan_in,INDIVIDUAL,YES
4,13628,C_13628,20170327,fan_in,INDIVIDUAL,YES
4,18952,C_18952,20170424,fan_in,INDIVIDUAL,YES
5,14669,C_14669,20170102,fan_in,INDIVIDUAL,YES
5,1499,C_1499,20170102,fan_in,INDIVIDUAL,YES
5,41593,C_41593,20170219,fan_in,INDIVIDUAL,YES
5,24005,C_24005,20170526,fan_in,INDIVIDUAL,YES
5,23948,C_23948,20170713,fan_in,INDIVIDUAL,YES
5,7589,C_7589,20170830,fan_in,INDIVIDUAL,YES
6,6523,C_6523,20170101,fan_in,INDIVIDUAL,YES
6,2834,C_2834,20170101,fan_in,INDIVIDUAL,YES
6,17270,C_17270,20170302,fan_in,INDIVIDUAL,YES
6,12514,C_12514,20170501,fan_in,INDIVIDUAL,YES
6,20220,C_20220,20170829,fan_in,INDIVIDUAL,YES
6,6248,C_6248,20171227,fan_in,INDIVIDUAL,YES
6,39422,C_39422,20180225,fan_in,INDIVIDUAL,YES
